Player,Tm,Tm_name,Opp,Opp_name,points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
Dereck Lively,6,DAL,17,MIN,8.2,3.2,8.4,4.0,1.0,4.0,1,6,17,2.0,10.0,4.4,2.6,5.0,9.0,1.0
Dereck Lively II,6,DAL,7,DEN,12.6,3.2,10.2,14.0,8.0,6.0,1,6,7,2.0,17.8,4.4,7.6,14.0,6.0,8.0
Derrick Jones,12,LAC,9,GSW,8.2,0.8,1.8,13.0,0.0,2.0,1,12,9,4.0,15.2,5.4,2.4,7.0,3.0,0.0
Derrick Jones Jr.,12,LAC,11,IND,11.2,1.6,5.0,17.0,2.0,2.0,1,12,11,2.0,9.4,2.4,3.4,11.15,4.2,0.85
Derrick White,1,BOS,6,DAL,19.6,4.6,3.0,20.0,2.0,5.0,1,1,6,2.0,13.0,4.4,3.0,23.0,4.0,4.0
Desmond Bane,14,MEM,16,MIL,20.2,7.6,5.2,24.0,6.0,12.0,1,14,16,3.0,14.4,4.6,6.4,17.925,5.675,5.45
Devin Booker,23,PHO,28,UTA,29.8,6.2,3.6,19.0,3.0,2.0,1,23,28,2.0,28.0,4.4,5.2,34.0,5.0,4.0
Devin Carter,25,SAC,24,POR,3.6,1.6,2.4,9.0,4.0,3.0,1,25,24,1.0,27.0,5.2,5.0,3.6875,2.5,1.3125
Devin Vassell,26,SAS,4,CHO,16.0,2.8,2.8,20.0,4.0,3.0,1,26,4,2.0,25.6,4.6,6.6,16.147058823529413,3.6176470588235294,3.0
Dillon Brooks,10,HOU,17,MIN,15.2,1.0,4.4,16.0,1.0,3.0,1,10,17,2.0,15.6,3.8,3.0,22.0,3.0,2.0
Dillon Jones,20,OKC,27,TOR,2.4,2.2,3.6,6.0,2.0,2.0,1,20,27,2.0,17.2,4.0,2.4,2.0625,2.03125,0.90625
Domantas Sabonis,25,SAC,24,POR,17.0,6.4,13.4,21.0,3.0,13.0,1,25,24,1.0,13.2,7.8,5.0,21.0,14.0,11.0
Dominick Barlow,0,ATL,16,MIL,3.4,0.2,2.4,5.0,0.0,3.0,1,0,16,2.0,6.6,5.0,3.4,2.8,1.5333333333333334,0.2
Donovan Clingan,24,POR,25,SAC,2.0,0.6,4.8,4.0,0.0,5.0,1,24,25,3.0,8.6,2.4,1.4,2.0,6.0,0.0
Donovan Mitchell,5,CLE,29,WAS,24.4,6.0,4.0,31.0,6.0,10.0,1,5,29,3.0,19.6,6.6,4.4,20.0,6.0,6.0
Donte DiVincenzo,17,MIN,9,GSW,15.4,3.8,5.2,13.0,0.0,3.0,1,17,9,2.0,13.4,3.4,4.0,19.0,4.0,4.0
Dorian Finney-Smith,13,LAL,9,GSW,7.8,0.6,3.4,7.0,2.0,4.0,1,13,9,2.0,13.6,3.6,4.2,8.0,3.0,0.0
Doug McDermott,25,SAC,17,MIN,3.0,0.0,0.2,0.0,0.0,0.0,1,25,17,2.0,12.2,4.8,1.8,0.0,1.0,0.0
Draymond Green,9,GSW,13,LAL,5.0,5.6,5.4,7.0,9.0,4.0,1,9,13,1.0,5.4,4.2,4.0,3.0,10.0,6.0
Drew Eubanks,12,LAC,11,IND,5.8,1.0,3.2,2.0,0.0,1.0,1,12,11,2.0,14.2,4.6,1.8,5.666666666666667,4.461538461538462,1.1538461538461537
Drew Peterson,1,BOS,6,DAL,2.4,0.6,1.6,0.0,0.0,2.0,1,1,6,8.0,10.0,5.4,2.6,2.7142857142857144,1.9285714285714286,0.7857142857142857
Dru Smith,15,MIA,2,BRK,11.2,2.2,2.2,14.0,0.0,4.0,1,15,2,2.0,2.8,3.8,2.0,6.285714285714286,2.5714285714285716,1.6428571428571428
